제목,빈도_1등,빈도_2등,빈도_3등,빈도_4등,빈도_5등,빈도_6등,빈도_7등,빈도_8등,빈도_9등,빈도_10등,1990_0,1990_1,1990_2,1990_3,1990_4,1990_5,1990_6,1990_7,1990_8,1990_9,2000_0,2000_1,2000_2,2000_3,2000_4,2000_5,2000_6,2000_7,2000_8,2000_9,2010_0,2010_1,2010_2,2010_3,2010_4,2010_5,2010_6,2010_7,2010_8,2010_9,w2v_0,w2v_1,w2v_2,w2v_3,w2v_4,w2v_5,w2v_6,w2v_7,w2v_8,w2v_9,w2v_10,w2v_11,w2v_12,w2v_13,w2v_14,w2v_15,w2v_16,w2v_17,w2v_18,w2v_19,w2v_20,w2v_21,w2v_22,w2v_23,w2v_24,w2v_25,w2v_26,w2v_27,w2v_28,w2v_29
희망사항,17,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09051546893818807,-0.0894702863627793,0.31519117624171683,0.011808738761189758,-0.08555502425942167,0.05838637617794243,0.1469621485715883,0.06493972560290147,-0.4744357815031214,-0.19342366828838037,-0.041600608735697694,0.2135483413632657,-0.330033725863826,-0.2457019490240192,-0.22234727366751916,-0.11705890925903176,0.13120497195553538,-0.3233658840857773,-0.3034968040254269,0.18946618253264474,0.443735176947509,0.1045483617195419,-0.10163907772968397,-0.14758425609623962,0.592459703770441,-0.1531303072005284,0.03403300585577617,0.363046635080733,0.5057733895861216,-0.14717705726090227
사랑일뿐야,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5655902536731633,0.0,0.8246864040045325,0.0,0.0,0.0,0.0,0.0,0.0,0.49549729702213297,0.8686094799412221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59023411830528,0.8072321138237679,0.0,0.0,0.0,0.018822372580567997,-0.10247833219201614,0.41947692175706225,0.2776188272982836,-0.16814633612831434,-0.02944739952683449,0.2596391991277536,0.2182027942687273,-0.34142492240294814,-0.3815188836554686,-0.015845201710859933,0.24203738930324714,-0.3392696334421635,-0.14808004915714265,-0.20973613123099008,-0.3881200511256854,0.1957419076996545,-0.05279949576283494,-0.2618112423767646,0.21365494863440593,0.6140786105891068,0.01879499286413193,0.056959177404642104,0.02699873372912407,0.31984181582927707,0.031029858145241937,0.014634193827708562,0.26364341298739113,0.470032343963782,-0.22516953373948734
유리창엔 비,4,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,0.8210015427883143,0.0,0.40732614642828724,0.0,0.0,0.0,0.0,0.0,0.0,0.40005234304411846,0.0,0.0,0.7328096184652485,0.0,0.0,0.0,0.0,0.0,0.6804337315895039,0.0,0.0,0.0,0.0,0.7111582997804446,0.0,0.0,0.0,0.0,0.7030319143917915,0.0,-0.1720747957067368,-0.0511921960370321,0.3355604440071865,0.10871371223561653,-0.15023449903125302,0.0891025956115571,0.21445409843306007,0.17313598761367693,-0.3245351912449686,-0.12775597714802675,-0.055629157020073185,0.3615888439510998,-0.3819201956911568,-0.1680512396259266,-0.22135303313272042,-0.2564899554443464,0.14222521459879844,-0.1516834624834653,-0.3595768280915524,0.16564580494243847,0.5378087794963728,0.026070039997106057,-0.05216295640556175,0.02225798977898401,0.4313831465939681,0.14886908784300382,0.14281061196111536,0.4232122259900758,0.5138703480428248,-0.15134999992146173
비오는 날 수채화,6,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.9384644072213897,0.0,0.0,0.0,0.34537596381133046,0.0,0.0,0.0,0.0,0.7377692413427247,0.0,0.0,0.30441133952525284,0.0,0.0,0.6025199439827877,0.0,0.0,0.0,0.0,0.7701934660055052,0.0,0.0,0.0,0.0,0.6378103361677565,-0.020567464527807066,-0.1798155498930386,0.3249427791471992,0.1295728000476291,-0.20526226215330617,0.04959745570551604,0.2666526015528611,0.15821444885006972,-0.4287884856973376,-0.26715644635260105,0.04758216949445861,0.23850519295249667,-0.31647646241954397,-0.1676629695509161,-0.22305828560675894,-0.3284644414630852,0.1904026813778494,-0.1468047785120351,-0.27380927264690397,0.19210818780320033,0.4376275962165424,0.05938197141513228,0.03218500713152545,0.00013734713728938785,0.461524972149304,0.08530568433659418,0.06293330585317952,0.3358889635545867,0.41454327532223295,-0.17185536511242389
마지막 콘서트,5,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.45585579989425135,0.0,0.4267382241499735,0.0,0.0,0.0,0.0,0.0,0.7810825678198811,0.0,0.40100398490690936,0.0,0.0,0.0,0.0,0.0,0.0,0.9160763090969983,0.0,0.0,0.9383994590779349,0.15741423087516676,0.0,0.0,0.0,0.0,0.0,0.3076153687971703,0.0,-0.11805562899847116,-0.19527077893061298,0.2979450231950198,0.18408380222639867,-0.09527108525591237,0.02995939076229531,0.19773345743971213,0.22077006176114083,-0.4170910486984732,-0.17573615940553802,-0.06730144508183003,0.26501606963574886,-0.2784489278282438,-0.11379991727215903,-0.28636318796447346,-0.25170010112758195,0.20861468661044325,-0.11516264486126601,-0.32603149670841436,0.09310205983264105,0.49259830129865023,0.22953458311302322,0.061021863391423334,0.026888806778671486,0.5192618025200707,0.22183668006910012,0.1145344498301191,0.3101337071508169,0.46615416894533807,-0.22194703339066887
그 아픔까지 사랑한거야,4,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6254712529962968,0.0,0.0,0.0,0.7802472118984101,0.0,0.0,0.0,0.0,0.0,0.6452358266447605,0.0,0.0,0.0,0.0,0.7639834605631542,0.0,0.0,0.0,0.0,-0.12269374400244228,0.010709344205402193,0.44332783463455383,0.2303493665139069,-0.25094205419577303,-0.03427298481221355,0.22180163315719081,0.29365477122898614,-0.31107458216803413,-0.28431479089361217,-0.0667179005131835,0.31931551638103667,-0.3199311509728432,-0.3594175897183872,-0.1519867711057443,-0.4121996321493671,0.2145333019750459,-0.07536916385094325,-0.25908024751891695,0.23676778759275163,0.5826424799504735,0.046432790781060856,-0.012304940074682236,-0.020682046872874102,0.31673451754308884,0.10270940326154232,0.13242422881580534,0.31035806167693364,0.5110944611685616,-0.20115771000938756
어떤이의 꿈,23,6.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.41253835208233663,0.0,0.0,0.0,0.9109402329797438,0.0,0.0,0.0,0.0,0.3745316395201429,0.0,0.0,0.9272141343823194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.12541271356411843,-0.16890258000803596,0.43939804417245526,0.277193635827353,-0.2810924406312093,0.0472253607351239,0.010924883460735573,0.2390800442765741,-0.2170660544593795,-0.36501638178064044,-0.011900262234090757,0.2581856399148452,-0.18629643966702103,-0.09162763888094605,-0.14607051421864695,-0.1992454553030807,0.3531634047502229,-0.14039608834608763,-0.5596653103139722,0.347085627938519,0.5080914302032535,0.2136244926946003,-0.10558117539504495,-0.030800904906472238,0.4150741385812519,0.038278234418199844,0.010569235153433656,0.2941232829534707,0.46337217117558005,-0.2518408945565965
슬픈 표정 하지 말아요,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.8744575277679686,0.0,0.0,0.0,0.0,0.48510208423581586,0.0,0.877436199681166,0.0,0.0,0.0,0.0,0.0,0.47969335568576815,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021183281676934625,-0.09012607312420519,0.4388000502182943,0.09971392638598024,-0.12116069214918264,-0.05347050192606885,0.2398903336285091,0.12186985853605153,-0.29256902930962786,-0.28280849704836925,0.030205949005193827,0.3311806764998814,-0.2667816902154832,-0.14613941096041988,-0.31781989154292317,-0.25368270699769574,0.25789247630391177,-0.08600651749932184,-0.33090919628739357,0.20335309328965662,0.5930474075693183,0.11738391106993687,-0.0062422083872484,0.012068979794204963,0.4888258908943432,0.030992862612304346,0.0051726888547219884,0.3395011230576329,0.4250585685779409,-0.20149001490506457
보고싶은 얼굴,8,5.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,0.4868420711685308,0.4246714220815456,0.0,0.7633079201787263,0.0,0.0,0.0,0.0,0.0,0.31231696405086123,0.4120854643089523,0.5069271940589483,0.6896872508571185,0.0,0.0,0.0,0.0,0.0,0.0,0.33607510358505227,0.0,0.4552801997260585,0.4499912278873099,0.6908555270909887,0.0,0.0,0.0,0.0,0.0,-0.059090111720955595,-0.15960001873449897,0.3920223881262091,0.05530629931171512,-0.25678471484625676,-0.07274603606465291,0.18558011769826682,0.2469026423235125,-0.2943974850470868,-0.3760864744490048,0.002493758334444379,0.24955798899930604,-0.2987075081481686,-0.267579455982964,-0.2505747629757883,-0.34317864291369915,0.2514635152271334,0.0013527979125391762,-0.44538392040456803,0.26155433937344913,0.4494086172923727,0.0869568019824208,-0.0034838404269221255,0.036134927278771156,0.4676353059849649,0.04717407380845749,0.12283874874196525,0.3724609470030047,0.41430017693003396,-0.11179334121560766
사계,7,6.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07814232337081597,-0.1264990748465708,0.2922444774820987,0.08877768813213657,-0.16923281085392874,0.014137577305599633,0.18564099944067292,0.1324439882637105,-0.2752760771933633,-0.2388706620433368,0.0747153297247779,0.35195464522888265,-0.17398418327017376,-0.27273274798774055,-0.272075376572967,-0.17903593879697535,0.15428913381959622,-0.1981072520940668,-0.3540474152399434,0.23319249582580395,0.3352560957389263,0.0946173394124748,0.03706133618446377,0.08570274502692175,0.5015303563119636,0.07148040140940187,0.07010152332691683,0.37625800053485564,0.5046857790400584,-0.21585173851247721
